,game_idx,ai_treatment,hint_treatment,is_tutorial_game,reward,hit_goals,designed_goals,player0_move,player1_move
6895,992,0,1,False,4,"(0, 3)","(1, 3)","[2, 2, 2, 2, 1, 1, 2, 2, 3, 1, 1, 1, 3, 3, 1]","[2, 2, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4]"
6896,464,0,1,False,10,"(0, 2)","(0, 2)","[3, 1, 1, 2, 2, 2, 2]","[1, 1, 3, 1, 4, 4, 4]"
6897,1001,0,1,True,10,"(1, 3)","(1, 3)","[0, 0, 3, 3, 1, 3, 1, 0, 2, 2, 2, 2, 1, 2, 2, 2]","[0, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6898,1002,0,1,True,10,"(0, 2)","(0, 2)","[0, 1, 1, 3, 3, 3, 3, 3, 3]","[1, 2, 1, 1, 3, 3, 4, 4, 4]"
6899,1003,0,1,True,10,"(0, 2)","(0, 2)","[0, 0, 3, 3, 3, 3, 3, 0, 0, 0]","[1, 1, 3, 3, 3, 4, 4, 4, 4, 4]"
6900,282,0,1,False,4,"(1, 2)","(0, 2)","[2, 0, 0, 0, 0]","[0, 2, 2, 2, 4]"
6901,102,0,1,False,10,"(0, 2)","(0, 2)","[1, 2, 3, 3, 1, 1, 3, 3]","[2, 2, 0, 2, 2, 4, 4, 4]"
6902,89,0,1,False,-10,"(-1, -1)","(0, 2)","[1, 2, 2]","[1, 1, 1]"
6903,396,0,1,False,4,"(0, 3)","(1, 3)","[1, 1, 1, 1, 3, 0, 0, 0]","[3, 0, 0, 0, 3, 4, 4, 4]"
6904,691,0,1,False,4,"(1, 2)","(0, 2)","[2, 3, 3, 3, 3, 1, 2, 2, 2]","[0, 0, 0, 3, 3, 3, 3, 4, 4]"
6905,685,0,1,False,10,"(1, 3)","(1, 3)","[0, 0, 0, 3, 4, 4, 4, 4]","[3, 3, 1, 1, 3, 1, 1, 3]"
6906,457,0,1,False,10,"(1, 3)","(1, 3)","[2, 3, 3, 1, 3, 3, 4, 4]","[3, 1, 1, 2, 1, 1, 1, 3]"
6907,262,0,1,False,10,"(1, 3)","(1, 3)","[2, 2, 1, 1, 2, 2, 2, 0]","[2, 2, 2, 1, 1, 4, 4, 4]"
6908,597,0,1,False,10,"(0, 2)","(0, 2)","[2, 2, 2, 1, 0, 1, 3, 1, 1, 2, 2, 2, 2, 0]","[2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6909,970,0,1,False,4,"(0, 3)","(1, 3)","[0, 0, 0, 0, 0]","[1, 3, 1, 1, 3]"
6910,234,0,1,False,10,"(0, 2)","(0, 2)","[2, 1, 1, 1, 1, 1, 1, 2, 0]","[3, 3, 3, 3, 3, 3, 4, 4, 4]"
