,human_belief,treatment,game_idx,designed_goal,player0_move,player1_move
133,0,1,57,0,"[1, 3, 3, 3, 3]","[1, 3, 3, 3, 3]"
134,0,1,44,0,"[1, 1, 1, 2, 2]","[1, 1, 1, 2, 2]"
135,1,1,74,0,"[0, 0, 0, 0, 3]","[0, 0, 0, 0, 3]"
136,1,1,186,1,"[0, 0, 0, 2, 2]","[0, 0, 0, 2, 2]"
137,0,1,77,0,"[1, 1, 1, 1]","[1, 1, 1, 1]"
138,1,1,225,1,"[0, 3, 3, 3, 0, 3]","[0, 3, 3, 3, 0, 3]"
139,1,1,149,1,"[0, 0, 1, 2, 3]","[0, 0, 1, 2, 3]"
140,1,1,141,1,"[0, 1, 3, 1, 1, 2]","[0, 1, 3, 1, 1, 2]"
141,0,1,215,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
142,0,1,68,0,"[1, 3, 3, 1, 1]","[1, 3, 3, 1, 1]"
143,1,1,92,0,"[0, 0, 0, 0, 1, 2, 2, 2]","[0, 0, 0, 0, 1, 2, 2, 2]"
144,1,1,168,0,"[0, 0, 2, 0]","[0, 0, 2, 0]"
145,1,1,18,0,"[3, 0, 0, 0, 3]","[3, 0, 0, 0, 3]"
146,1,1,247,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
147,0,1,167,0,"[1, 1, 1, 2]","[1, 1, 1, 2]"
148,0,1,76,0,"[0, 0, 2, 2, 2]","[0, 0, 2, 2, 2]"
149,1,1,0,1,"[3, 3, 3, 3]","[3, 3, 3, 3]"
150,1,0,43,1,"[3, 3, 0, 0, 0]","[3, 3, 0, 0, 0]"
151,1,0,85,1,"[0, 3, 3, 3, 3]","[0, 3, 3, 3, 3]"
152,1,0,79,1,"[0, 0, 0, 0, 3, 3, 3]","[0, 0, 0, 0, 3, 3, 3]"
153,0,0,219,0,"[0, 2, 2, 2, 2, 2, 2]","[0, 2, 2, 2, 2, 2, 2]"
154,0,0,24,0,"[3, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]"
155,1,0,241,1,"[0, 3, 3, 3, 3, 3]","[0, 3, 3, 3, 3, 3]"
156,0,0,224,0,"[3, 0, 0, 3]","[3, 0, 0, 3]"
157,0,0,174,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
158,0,0,16,1,"[1, 3, 1, 3, 1]","[1, 3, 1, 3, 1]"
159,1,0,53,1,"[0, 0, 2, 0, 0]","[0, 0, 2, 0, 0]"
160,1,0,70,1,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]"
161,0,0,199,0,"[3, 1, 1, 1, 1, 1]","[3, 1, 1, 1, 1, 1]"
