idx,move
2785,"[3, 1, 1, 1, 3, 1, 3, 1, 3]"
1067,"[2, 0, 0, 2, 0, 2, 0, 2]"
1801,"[1, 3, 3, 0, 3, 3, 3, 1, 2]"
2762,"[2, 1, 2, 1, 2, 1, 2, 2]"
3219,"[3, 3, 1, 1, 1, 1, 1]"
62,"[3, 3, 3, 3, 3]"
927,"[1, 2, 1, 2, 3, 3, 1, 3, 3, 1]"
853,"[1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 0, 0, 0, 0]"
1075,"[3, 3, 3, 3, 1]"
1842,"[3, 1, 3, 1, 3, 1, 1, 1]"
1769,"[3, 1, 3, 1, 3, 3, 3]"
81,"[2, 1, 2, 2, 1, 1, 1, 2, 2]"
950,"[2, 2, 2, 2, 2]"
865,"[0, 1, 1, 3, 3, 3, 3, 3]"
1957,"[1, 2, 2, 2, 2, 2]"
1776,"[3, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]"
611,"[2, 0, 0, 0, 0, 0, 1, 3]"
342,"[1, 2, 2, 2, 2, 2]"
940,"[1, 1, 1, 2, 2, 2, 2, 1]"
924,"[3, 3, 3, 3, 3, 0]"
1632,"[3, 1, 1, 1, 1, 2]"
213,"[1, 1, 1, 2, 2, 2, 2, 2]"
388,"[0, 3, 3, 3, 3, 3]"
1114,"[0, 2, 2, 2, 2, 0, 0]"
495,"[2, 2, 2, 2, 2, 0]"
262,"[1, 1, 3, 3, 3, 3, 3, 0]"
2047,"[1, 2, 2, 2, 2]"
3148,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 3]"
1510,"[2, 2, 2, 2, 2, 0, 0, 0, 0]"
2866,"[1, 1, 1, 1, 3, 3, 3, 3]"
2739,"[0, 0, 3, 3, 0, 0, 3, 3, 3]"
325,"[0, 0, 0, 0, 0, 3]"
437,"[2, 2, 1, 1, 1, 1, 1, 3, 2]"
2602,"[2, 2, 3, 0, 0, 0, 0, 3]"
1040,"[0, 3, 3, 3, 3, 3]"
609,"[3, 2, 2, 1, 1, 1, 1, 2]"
1645,"[2, 2, 2, 2, 1]"
2660,"[0, 0, 0, 2, 2, 0, 2]"
1767,"[1, 1, 3, 3, 3, 3, 3]"
767,"[2, 3, 3, 1, 1, 1, 1]"
890,"[1, 1, 2, 2, 2, 2, 2, 1, 3]"
346,"[2, 1, 1, 1, 1, 2, 2, 2, 2]"
1192,"[3, 3, 3, 3, 1, 1]"
786,"[0, 0, 2, 2, 2, 2]"
2326,"[0, 0, 0, 0, 0, 3, 3, 3]"
29,"[1, 1, 1, 1, 1]"
3226,"[3, 3, 3, 3, 3, 1, 1, 1]"
246,"[1, 3, 3, 3, 3, 3]"
1975,"[1, 3, 3, 3, 3, 3]"
222,"[3, 3, 0, 3, 3, 0, 0, 0, 0]"
2607,"[1, 3, 3, 3, 3]"
3031,"[1, 1, 1, 1, 2, 1, 2, 2, 0]"
1647,"[1, 1, 1, 1, 1, 2, 2]"
1439,"[2, 2, 2, 2]"
632,"[0, 0, 3, 3, 3, 3]"
1783,"[0, 0, 0, 0]"
2066,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
2973,"[2, 2, 2, 2]"
247,"[3, 3, 3, 3, 3, 0, 0, 0]"
2151,"[2, 2, 2, 1, 1, 1, 2]"
180,"[3, 3, 3, 1, 3]"
1028,"[0, 3, 3, 3, 3, 1, 1]"
2464,"[0, 3, 3, 3, 3, 3, 0]"
1627,"[3, 3, 3, 0, 0, 3, 3, 0, 0, 2]"
2494,"[3, 1, 1, 1, 3, 1, 3, 3]"
